started,finished,duration_min,alarm_type,ended,alarms_in_regions
2023-11-14 00:44:23+00:00,2023-11-14 01:54:50+00:00,70.45,БпЛА/Шахеди,2023-11-14 01:54:50+00:00,Chernivetska oblast; Dnipropetrovska oblast; Ivano-Frankivska oblast; Khmelnytska oblast; Rivnenska oblast; Ternopilska oblast; Vinnytska oblast
2023-11-14 12:38:27+00:00,2023-11-14 15:22:16+00:00,163.82,МіГ-31К,2023-11-14 15:22:16+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-11-15 10:06:14+00:00,2023-11-15 12:19:59+00:00,133.75,МіГ-31К,2023-11-15 12:19:59+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-11-27 10:21:38+00:00,2023-11-27 12:05:23+00:00,103.75,МіГ-31К,2023-11-27 12:05:23+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-11-28 11:43:47+00:00,2023-11-28 12:28:21+00:00,44.57,МіГ-31К,2023-11-28 12:28:21+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-01 09:00:36+00:00,2023-12-01 10:24:12+00:00,83.6,МіГ-31К,2023-12-01 10:24:12+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-02 10:09:12+00:00,2023-12-02 11:50:13+00:00,101.02,МіГ-31К,2023-12-02 11:50:13+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-03 11:03:51+00:00,2023-12-03 12:37:35+00:00,93.73,МіГ-31К,2023-12-03 12:37:35+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-04 00:21:23+00:00,2023-12-04 02:51:34+00:00,150.18,БпЛА/Шахеди,2023-12-04 02:51:34+00:00,Cherkaska oblast; Dnipropetrovska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khmelnytska oblast; Rivnenska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast
2023-12-05 00:44:05+00:00,2023-12-05 02:58:57+00:00,134.87,БпЛА/Шахеди,2023-12-05 02:58:57+00:00,Dnipropetrovska oblast; Ivano-Frankivska oblast; Khmelnytska oblast; Ternopilska oblast
2023-12-06 10:53:42+00:00,2023-12-06 12:39:52+00:00,106.17,МіГ-31К,2023-12-06 12:39:52+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-07 10:43:18+00:00,2023-12-07 11:49:07+00:00,65.82,МіГ-31К,2023-12-07 11:49:07+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-10 08:18:05+00:00,2023-12-10 09:26:11+00:00,68.1,МіГ-31К,2023-12-10 09:26:11+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-14 09:07:56+00:00,2023-12-14 10:46:04+00:00,98.13,МіГ-31К,2023-12-14 10:46:04+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-14 12:09:51+00:00,2023-12-14 12:58:15+00:00,48.4,МіГ-31К,2023-12-14 12:58:15+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-14 13:36:56+00:00,2023-12-14 14:13:10+00:00,36.23,МіГ-31К,2023-12-14 14:13:10+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-14 15:30:55+00:00,2023-12-14 16:36:44+00:00,65.82,Невідомо,2023-12-14 16:36:44+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-20 18:25:20+00:00,2023-12-20 19:04:48+00:00,39.47,Невідомо,2023-12-20 19:04:48+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-22 11:49:11+00:00,2023-12-22 12:44:51+00:00,55.67,МіГ-31К,2023-12-22 12:44:51+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-25 08:34:02+00:00,2023-12-25 10:38:00+00:00,123.97,МіГ-31К,2023-12-25 10:38:00+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-26 09:18:20+00:00,2023-12-26 10:54:23+00:00,96.05,МіГ-31К,2023-12-26 10:54:23+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-27 09:55:57+00:00,2023-12-27 10:12:36+00:00,16.65,Невідомо,2023-12-27 10:12:36+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-28 07:23:36+00:00,2023-12-28 07:39:06+00:00,15.5,Невідомо,2023-12-28 07:39:06+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-29 01:01:06+00:00,2023-12-29 03:34:04+00:00,152.97,БпЛА/Шахеди,2023-12-29 03:34:04+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Kharkivska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-29 05:05:12+00:00,2023-12-29 07:30:36+00:00,145.4,Ракетна,2023-12-29 07:30:36+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-30 08:31:33+00:00,2023-12-30 09:57:49+00:00,86.27,МіГ-31К,2023-12-30 09:57:49+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-31 08:42:56+00:00,2023-12-31 09:48:44+00:00,65.8,МіГ-31К,2023-12-31 09:48:44+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-31 11:26:53+00:00,2023-12-31 12:14:31+00:00,47.63,МіГ-31К,2023-12-31 12:14:31+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2023-12-31 18:06:19+00:00,2023-12-31 19:30:07+00:00,83.8,МіГ-31К,2023-12-31 19:30:07+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-01 02:06:52+00:00,2024-01-01 03:53:02+00:00,106.17,БпЛА/Шахеди,2024-01-01 03:53:02+00:00,Dnipropetrovska oblast; Khmelnytska oblast; Rivnenska oblast; Ternopilska oblast; Volynska oblast
2024-01-01 09:21:19+00:00,2024-01-01 11:53:35+00:00,152.27,МіГ-31К,2024-01-01 11:53:35+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-01 12:56:43+00:00,2024-01-01 13:32:52+00:00,36.15,МіГ-31К,2024-01-01 13:32:52+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-02 04:23:22+00:00,2024-01-02 07:45:46+00:00,202.4,Ракетна,2024-01-02 07:45:46+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-06 07:24:47+00:00,2024-01-06 09:31:37+00:00,126.83,БпЛА/Шахеди,2024-01-06 09:31:37+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-07 07:54:23+00:00,2024-01-07 09:04:47+00:00,70.4,БпЛА/Шахеди,2024-01-07 09:04:47+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-08 04:20:26+00:00,2024-01-08 06:24:58+00:00,124.53,Ракетна,2024-01-08 06:24:58+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-10 06:00:32+00:00,2024-01-10 06:50:51+00:00,50.32,МіГ-31К,2024-01-10 06:50:51+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-11 11:31:48+00:00,2024-01-11 12:46:59+00:00,75.18,МіГ-31К,2024-01-11 12:46:59+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-13 04:33:17+00:00,2024-01-13 06:23:29+00:00,110.2,Ракетна,2024-01-13 06:23:29+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-13 09:53:08+00:00,2024-01-13 11:13:52+00:00,80.73,МіГ-31К,2024-01-13 11:13:52+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-14 10:31:43+00:00,2024-01-14 10:57:21+00:00,25.63,МіГ-31К,2024-01-14 10:57:21+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-16 08:38:08+00:00,2024-01-16 09:57:20+00:00,79.2,МіГ-31К,2024-01-16 09:57:20+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-17 08:30:03+00:00,2024-01-17 10:10:05+00:00,100.03,МіГ-31К,2024-01-17 10:10:05+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-18 06:47:59+00:00,2024-01-18 07:13:14+00:00,25.25,МіГ-31К,2024-01-18 07:13:14+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-18 09:44:22+00:00,2024-01-18 11:18:29+00:00,94.12,МіГ-31К,2024-01-18 11:18:29+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-20 10:16:34+00:00,2024-01-20 10:46:24+00:00,29.83,МіГ-31К,2024-01-20 10:46:24+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-21 10:58:25+00:00,2024-01-21 11:05:28+00:00,7.05,Невідомо,2024-01-21 11:05:28+00:00,Cherkaska oblast; Dnipropetrovska oblast; Donetska oblast; Kharkivska oblast; Khersonska oblast; Kirovohradska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Sumska oblast; Vinnytska oblast; Volynska oblast; Zhytomyrska oblast
2024-01-22 10:08:57+00:00,2024-01-22 11:28:20+00:00,79.38,МіГ-31К,2024-01-22 11:28:20+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-22 12:59:01+00:00,2024-01-22 13:33:16+00:00,34.25,МіГ-31К,2024-01-22 13:33:16+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
2024-01-23 04:05:48+00:00,2024-01-23 06:15:07+00:00,129.32,Ракетна,2024-01-23 06:15:07+00:00,Cherkaska oblast; Chernihivska oblast; Chernivetska oblast; Dnipropetrovska oblast; Donetska oblast; Ivano-Frankivska oblast; Kharkivska oblast; Khersonska oblast; Khmelnytska oblast; Kirovohradska oblast; Kyiv City; Kyivska oblast; Mykolaivska oblast; Odeska oblast; Poltavska oblast; Rivnenska oblast; Sumska oblast; Ternopilska oblast; Vinnytska oblast; Volynska oblast; Zakarpatska oblast; Zaporizka oblast; Zhytomyrska oblast
