oblast,raion,hromada,level,started_at,finished_at,source
Lvivska oblast,,,oblast,2022-04-23 10:42:55+00:00,2022-04-23 12:50:19+00:00,official
Lvivska oblast,,,oblast,2022-04-23 19:45:00+00:00,2022-04-23 20:49:11+00:00,official
Lvivska oblast,,,oblast,2022-04-24 15:56:05+00:00,2022-04-24 17:48:40+00:00,official
Lvivska oblast,,,oblast,2022-04-25 04:20:51+00:00,2022-04-25 06:30:42+00:00,official
Lvivska oblast,,,oblast,2022-04-25 08:34:47+00:00,2022-04-25 09:22:53+00:00,official
Lvivska oblast,,,oblast,2022-04-25 14:54:21+00:00,2022-04-25 15:13:51+00:00,official
Lvivska oblast,,,oblast,2022-04-25 17:54:36+00:00,2022-04-25 19:13:07+00:00,official
Lvivska oblast,,,oblast,2022-04-27 07:16:23+00:00,2022-04-27 07:40:48+00:00,official
Lvivska oblast,,,oblast,2022-04-28 15:50:11+00:00,2022-04-28 18:18:58+00:00,official
Lvivska oblast,,,oblast,2022-04-29 20:26:48+00:00,2022-04-29 20:37:49+00:00,official
Lvivska oblast,,,oblast,2022-04-30 15:10:17+00:00,2022-04-30 15:30:24+00:00,official
Lvivska oblast,,,oblast,2022-05-03 11:47:13+00:00,2022-05-03 12:05:13+00:00,official
Lvivska oblast,,,oblast,2022-05-03 16:03:35+00:00,2022-05-03 18:18:18+00:00,official
Lvivska oblast,,,oblast,2022-05-04 17:00:32+00:00,2022-05-04 18:55:43+00:00,official
Lvivska oblast,,,oblast,2022-05-04 19:11:42+00:00,2022-05-04 19:48:14+00:00,official
Lvivska oblast,,,oblast,2022-05-05 00:28:28+00:00,2022-05-05 01:27:49+00:00,official
Lvivska oblast,,,oblast,2022-05-05 07:07:27+00:00,2022-05-05 08:07:39+00:00,official
Lvivska oblast,,,oblast,2022-05-05 17:15:27+00:00,2022-05-05 18:03:52+00:00,official
Lvivska oblast,,,oblast,2022-05-07 10:52:06+00:00,2022-05-07 12:39:10+00:00,official
Lvivska oblast,,,oblast,2022-05-07 23:06:20+00:00,2022-05-07 23:35:57+00:00,official
Lvivska oblast,,,oblast,2022-05-08 06:32:44+00:00,2022-05-08 06:52:57+00:00,official
